Counties,AcresBurned,AirTankers,ArchiveYear,CountyIds,CrewsInvolved,Dozers,Engines,Extinguished,Fatalities,Featured,Final,Helicopters,Injuries,Latitude,Longitude,MajorIncident,Name,PersonnelInvolved,Started,StructuresDamaged,StructuresDestroyed,StructuresEvacuated,StructuresThreatened,UniqueId,WaterTenders,Started Date,Ended Date,Started Month,Days Burned,AvgAcresBurned,AvgAirTankers,AvgCrewsInvolved,AvgDozers,AvgEngines,AvgFatalities,AvgHelicopters,AvgInjuries,AvgPersonnelInvolved,AvgStructuresDamaged,AvgStructuresDestroyed,AvgStructuresEvacuated,AvgStructuresThreatened,AvgWaterTenders
Alameda,240.0,,2013,1,,,,2013-06-08T13:25:00Z,,False,True,,,37.775057000000004,-121.73721299999998,False,Vasco Fire,,2013-06-08T10:16:00Z,,,,,2ad509e4-99f1-4e1a-81eb-839f772f9c45,,2013-06-08,2013-06-08,6,0.0,240.0,,,,,,,,,,,,,
Alameda,150.0,,2013,1,,,,2013-10-04T10:30:00Z,,False,True,,,0.0,0.0,False,Highland Fire,,2013-10-04T07:35:00Z,,,,,6a48000a-6198-46dd-9a91-0b0159183145,,2013-10-04,2013-10-04,10,0.0,150.0,,,,,,,,,,,,,
Alameda,50.0,,2013,1,,,,2013-07-04T11:30:00Z,,False,True,,,37.7393,-121.5869,False,Grant Fire,,2013-07-04T10:00:00Z,,,,,07fb8b11-f39b-4cd0-8a27-2d4fef7fe680,,2013-07-04,2013-07-04,7,0.0,50.0,,,,,,,,,,,,,
Alameda,38.0,,2013,1,,,,2013-07-06T14:30:00Z,,False,True,,,37.74241,-121.86216,False,Fallon Fire,,2013-07-06T13:09:00Z,,,,,4c04a4e5-f580-4e62-bb53-2575c72d29dc,,2013-07-06,2013-07-06,7,0.0,38.0,,,,,,,,,,,,,
Alameda,2700.0,,2015,1,,,5.0,2015-08-22T18:30:00Z,,False,True,,,37.3845,-121.3732,True,Tesla Fire,18.0,2015-08-19T14:45:00Z,,,,,8fc920eb-ca45-4d77-9a92-1326eca602d6,1.0,2015-08-19,2015-08-22,8,3.0,2700.0,,,,5.0,,,,18.0,,,,,1.0
Alameda,300.0,,2015,1,,,,2015-06-06T07:15:00Z,,False,True,,,0.0,0.0,False,Site Fire,,2015-06-05T20:22:00Z,,,,,186f5cdd-aa7d-4f9e-84ae-83112801c790,,2015-06-05,2015-06-06,6,1.0,300.0,,,,,,,,,,,,,
Alameda,242.0,,2015,1,,,,2015-05-28T10:30:00Z,,False,True,,,0.0,0.0,False,Christensen Fire,,2015-05-28T17:00:00Z,,,,,7c162fbf-922c-4128-9e30-a1e8848e15ab,,2015-05-28,2015-05-28,5,0.0,242.0,,,,,,,,,,,,,
Alameda,53.0,,2015,1,,,,2015-06-25T18:45:00Z,,False,True,,,0.0,0.0,False,Tesla Fire,,2015-06-25T16:10:00Z,,,,,418c9abb-935a-4157-91a3-f511c197785b,,2015-06-25,2015-06-25,6,0.0,53.0,,,,,,,,,,,,,
Alameda,45.0,,2015,1,,,,2015-07-03T20:00:00Z,,False,True,,,0.0,0.0,False,Geary Fire,,2015-07-02T04:40:00Z,,,,,a6143c76-aa03-4161-bf5e-4d8e4a1136d2,,2015-07-02,2015-07-03,7,1.0,45.0,,,,,,,,,,,,,
Alameda,211.0,,2016,1,,,,2016-06-26T07:00:00Z,,False,True,,,37.74369,-121.58677,False,Grant Fire,,2016-06-25T16:11:00Z,,,,,3822b8a2-1a89-40e8-b239-840cfcda7a1c,,2016-06-25,2016-06-26,6,1.0,211.0,,,,,,,,,,,,,
Alameda,200.0,,2017,1,,,,2018-01-09T12:44:00Z,,False,True,,,37.725429999999996,-121.90516000000001,False,Range Fire,,2017-08-22T14:00:00Z,,,,,89b5d4db-ce4e-43b9-8618-f89088d35ee1,,2017-08-22,2018-01-09,8,140.0,200.0,,,,,,,,,,,,,
