Counties,AcresBurned,AirTankers,ArchiveYear,CountyIds,CrewsInvolved,Dozers,Engines,Extinguished,Fatalities,Featured,Final,Helicopters,Injuries,Latitude,Longitude,MajorIncident,Name,PersonnelInvolved,Started,StructuresDamaged,StructuresDestroyed,StructuresEvacuated,StructuresThreatened,UniqueId,WaterTenders,Started Date,Ended Date,Started Month,Days Burned,AvgAcresBurned,AvgAirTankers,AvgCrewsInvolved,AvgDozers,AvgEngines,AvgFatalities,AvgHelicopters,AvgInjuries,AvgPersonnelInvolved,AvgStructuresDamaged,AvgStructuresDestroyed,AvgStructuresEvacuated,AvgStructuresThreatened,AvgWaterTenders
Alameda,2700.0,,2015.0,1,,,5.0,2015-08-22T18:30:00Z,,False,True,,,37.3845,-121.3732,True,Tesla Fire,18.0,2015-08-19T14:45:00Z,,,,,8fc920eb-ca45-4d77-9a92-1326eca602d6,1.0,2015-08-19,2015-08-22,8.0,3.0,2700.0,,,,5.0,,,,18.0,,,,,1.0
Alameda,640.0,,2018.0,1,,,,2019-01-04T09:53:00Z,,False,True,,,37.75646,-121.60646,True,Grant Fire,,2018-07-08T17:38:00Z,,,,,d0e1cdc0-9dea-467a-8ae8-040e0f94178d,,2018-07-08,2019-01-04,7.0,180.0,640.0,,,,,,,,,,,,,
Amador,4240.0,,2014.0,3;9,1.0,,3.0,2014-08-02T19:15:00Z,,False,True,,2.0,38.5691,-120.7819,True,Sand Fire,40.0,2014-07-25T16:34:00Z,,67.0,,,4d07ccc3-32be-4a1d-acac-18333884c97d,1.0,2014-07-25,2014-08-02,7.0,8.0,2120.0,,0.5,,1.5,,,1.0,20.0,,33.5,,,0.5
Amador,355.0,,2015.0,3,1.0,2.0,13.0,2015-07-02T06:36:00Z,,False,True,,,0.0,0.0,True,Ione Fire,,2015-07-02T01:58:00Z,,,,,c3f64286-b2a0-4ab1-9f6b-d934d5b82228,5.0,2015-07-02,2015-07-02,7.0,0.0,355.0,,1.0,2.0,13.0,,,,,,,,,5.0
Amador,210.0,,2016.0,3,,,,2016-06-21T18:30:00Z,,False,True,,,38.26874,-120.90265,True,Camanche Fire,,2016-06-17T14:54:00Z,,,,,fef2ab8a-20d7-4dc3-b5c9-363aa1debef3,,2016-06-17,2016-06-21,6.0,4.0,210.0,,,,,,,,,,,,,
Amador,45.0,4.0,2016.0,3,5.0,2.0,18.0,2016-09-25T17:45:00Z,,False,True,2.0,,38.5212,-120.8416,True,Bell Fire,150.0,2016-09-23T13:12:00Z,,,,,0bf08653-1441-4e73-b24b-1296afb12b45,3.0,2016-09-23,2016-09-25,9.0,2.0,45.0,4.0,5.0,2.0,18.0,,2.0,,150.0,,,,,3.0
Amador,26.0,,2016.0,3,2.0,1.0,8.0,2016-08-06T10:06:00Z,,False,True,,,38.2581,-120.8657,True,Deer Fire,,2016-08-05T13:49:00Z,,,,,38fe21ed-2019-4be9-abdf-bf46ac5f59e3,3.0,2016-08-05,2016-08-06,8.0,1.0,26.0,,2.0,1.0,8.0,,,,,,,,,3.0
Amador,19.0,,2016.0,3,,,,2016-08-31T07:05:00Z,,False,True,,,0.0,0.0,True,Willow Fire,,2016-08-30T16:52:00Z,,,,,fa8a5b87-9f71-4b68-bd14-b751844d5676,,2016-08-30,2016-08-31,8.0,1.0,19.0,,,,,,,,,,,,,
Amador,825.0,,2018.0,3,4.0,2.0,15.0,2019-01-04T09:54:00Z,,False,True,1.0,,38.42623,-120.95408,True,Irish Fire,,2018-07-06T14:42:00Z,,1.0,,,be804253-e994-4f40-9e07-5c215533231c,4.0,2018-07-06,2019-01-04,7.0,182.0,825.0,,4.0,2.0,15.0,,1.0,,,,1.0,,,4.0
Amador,10.0,,2019.0,3,2.0,,5.0,2019-09-25T17:00:00Z,,False,True,,1.0,38.332083,-120.67131,True,Electra Fire,45.0,2019-09-25T13:13:41Z,,,,,755df0b3-ad02-406b-af5d-738b67d8c755,,2019-09-25,2019-09-25,9.0,0.0,10.0,,2.0,,5.0,,,1.0,45.0,,,,,
Contra Costa,3111.0,,2013.0,7,8.0,5.0,3.0,2013-09-14T17:30:00Z,,False,True,,,37.90757,-121.882582,True,Morgan Fire,231.0,2013-09-08T13:08:00Z,,,,,e33b2d80-7fec-4470-9e79-440d349b0d95,4.0,2013-09-08,2013-09-14,9.0,6.0,3111.0,,8.0,5.0,3.0,,,,231.0,,,,,4.0
Contra Costa,80.0,,2014.0,7,,,,2014-07-12T18:00:00Z,,False,True,,,37.5359,-121.5118,True,Marsh Fire,,2014-07-11T21:57:00Z,,,,,dc1a83b0-500c-440f-85d7-7090884f5487,,2014-07-11,2014-07-12,7.0,1.0,80.0,,,,,,,,,,,,,
Contra Costa,247.0,,2018.0,7,,,,2019-01-04T09:34:00Z,,False,True,,1.0,37.89612,-121.85847,True,Marsh Fire,,2018-07-25T14:41:00Z,,1.0,,,df681456-a50e-4400-a95a-77533a0978ba,,2018-07-25,2019-01-04,7.0,163.0,247.0,,,,,,,1.0,,,1.0,,,
Fresno,40.0,,2014.0,10,,,,2014-06-11T07:30:00Z,,False,True,,4.0,36.991825,-119.525506,True,Morgan Fire,,2014-06-09T15:15:00Z,,1.0,,,857e832f-17bd-4ad2-8789-99b003187049,,2014-06-09,2014-06-11,6.0,2.0,40.0,,,,,,,4.0,,,1.0,,,
Fresno,7050.0,,2016.0,10,,,,2016-08-18T19:00:00Z,,False,True,,,36.09974,-120.51057,True,Mineral Fire,20.0,2016-08-09T13:08:00Z,,2.0,,0.0,346c59b1-375e-4d42-876a-d97b769c939f,,2016-08-09,2016-08-18,8.0,9.0,7050.0,,,,,,,,20.0,,2.0,,0.0,
Fresno,2944.0,,2016.0,10,12.0,5.0,29.0,2016-07-05T07:05:00Z,,False,True,2.0,,36.0749,-120.452041,True,Curry Fire,188.0,2016-07-01T17:16:00Z,,,,,423df2bd-4464-44e0-8b8a-74f953613287,13.0,2016-07-01,2016-07-05,7.0,4.0,2944.0,,12.0,5.0,29.0,,2.0,,188.0,,,,,13.0
Fresno,2241.0,,2016.0,10,4.0,,7.0,2016-08-09T18:30:00Z,,False,True,,,37.01591,-119.50507,True,Goose Fire,167.0,2016-07-30T16:40:00Z,5.0,4.0,,,bd2b7bdc-0f92-451a-a3a5-03569d27c952,6.0,2016-07-30,2016-08-09,7.0,10.0,2241.0,,4.0,,7.0,,,,167.0,5.0,4.0,,,6.0
Fresno,158.0,,2016.0,10,,,,2016-09-06T18:15:00Z,,False,True,,,36.84479,-119.34487,True,Sunny Fire,,2016-09-03T14:44:00Z,,,,,63643257-f082-4928-bf0e-77a0417a4613,,2016-09-03,2016-09-06,9.0,3.0,158.0,,,,,,,,,,,,,
Fresno,123.0,,2016.0,10,,,,2016-07-16T18:00:00Z,,False,True,,,37.0099,-119.5792,True,Green Fire,,2016-07-15T16:45:00Z,,,,,a32de567-3d32-434a-9128-7947deaec3bb,,2016-07-15,2016-07-16,7.0,1.0,123.0,,,,,,,,,,,,,
Fresno,10343.0,,2017.0,10,14.0,,35.0,2018-01-09T10:04:00Z,,False,True,2.0,,36.12089,-120.37116,True,Elm Fire,432.0,2017-05-18T13:11:00Z,,,,,65062933-27cf-48d7-8e4c-9a7ac78e65ff,,2017-05-18,2018-01-09,5.0,236.0,10343.0,,14.0,,35.0,,2.0,,432.0,,,,,
Fresno,5738.0,,2017.0,10,,,,2018-01-09T09:51:00Z,,False,True,,,36.07228,-120.26561,True,Jayne Fire,,2017-04-20T15:40:00Z,,,,,0cacf259-1ba3-4e8c-a938-feaab2655c4b,,2017-04-20,2018-01-09,4.0,264.0,5738.0,,,,,,,,,,,,,
Fresno,1649.0,,2017.0,10,17.0,10.0,35.0,2018-01-09T11:58:00Z,,False,True,1.0,,35.95910999999999,-120.55579,True,Park Fire,727.0,2017-07-17T13:15:00Z,,,,5.0,f44aec62-5d1d-422f-9ff9-dbef80e4e27f,7.0,2017-07-17,2018-01-09,7.0,176.0,1649.0,,17.0,10.0,35.0,,1.0,,727.0,,,,5.0,7.0
Fresno,1538.0,,2017.0,10,,,,2018-01-09T11:41:00Z,,False,True,,,36.269125,-120.620791,True,Derrick Fire,,2017-07-02T22:28:00Z,,,,,e3e75be1-8dea-4022-975b-34a0f25b57c0,,2017-07-02,2018-01-09,7.0,191.0,1538.0,,,,,,,,,,,,,
